treatment,participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,player.language,player.municipality_home,player.driving_license,player.access_to_car,player.car_type,player.buy_car_type,player.access_to_bike,player.access_to_motorbyke,player.access_to_scooter,player.employ_status,player.municipality_destination,player.trip_purpose,player.trip_other,player.trip_moment,player.trip_mode,player.mode_other,player.trip_traffic,player.trip_time,player.trip_cost,player.trip_tolls,player.trip_alternative_mode,player.trip_alternative_rate,player.trip_alternative_justification,player.inequality_perception,player.inequality_wish,player.income_distribution,session.code
Social Norm,100,ckgdbhy3,169,169,A_Planet3_ES,End,01:53.7,1,ES,71,1,0,1,,2,2,2,0,99,6,,2,0,,2,0,1,1,1,1,,3,4,4,uln4i2w2
Baseline,101,ygzo60jz,169,169,A_Planet3_ES,End,21:59.8,1,ES,64,1,1,1,4,0,2,0,2,64,1,,1,2,,1,1,3,,0,1,,2,5,3,uln4i2w2
Pollution,102,o36q4v3s,169,169,A_Planet3_ES,End,20:32.9,1,ES,78,1,1,0,4,1,2,2,0,83,0,,0,3,,0,2,0,,2,1,,2,5,4,uln4i2w2
Public Services,103,2chu8i27,169,169,A_Planet3_ES,End,18:37.3,1,ES,6,1,1,2,4,0,2,2,1,73,1,,0,3,,1,1,1,,10,,No es posible ir en bicicleta por la existencia de autopistas mientras que no me gustaría usar el coche por motivos medioambientales. El metro es la mejor alternativa y la que utilizo.,3,4,3,uln4i2w2
Road Pricing,104,yatjkrmr,169,169,A_Planet3_ES,End,57:04.5,1,ES,80,1,0,1,,1,2,1,0,81,0,,0,3,,0,1,1,,0,2,,5,4,3,uln4i2w2
Social Norm,105,oljn48l4,169,169,A_Planet3_ES,End,54:54.0,1,ES,80,0,1,0,4,0,2,2,2,73,1,,0,2,,1,0,0,,1,0,,1,5,3,uln4i2w2
Pollution,107,qtpo1paq,169,169,A_Planet3_ES,End,12:52.4,1,ES,64,1,1,0,4,1,0,2,1,73,0,,2,2,,2,1,0,,3,0,,3,4,3,uln4i2w2
Public Services,108,nc77kida,169,169,A_Planet3_ES,End,58:30.7,1,ES,139,1,1,2,4,0,2,2,0,5,0,,0,3,,1,4,1,,1,0,,3,1,4,uln4i2w2
Road Pricing,109,hgm4z5p8,169,169,A_Planet3_ES,End,09:04.2,1,ES,98,1,1,0,4,0,2,2,0,64,0,,0,0,,1,0,1,1,2,2,,3,5,3,uln4i2w2
Social Norm,110,e13kuef8,169,169,A_Planet3_ES,End,46:49.4,1,ES,78,1,1,1,4,1,2,2,0,5,0,,0,2,,2,2,0,,3,2,,2,4,3,uln4i2w2
